mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
PCMPESTRM,XMM0,xmm,xmm/m128,...,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Mask"
PCMPESTRI,ECX,xmm,xmm/m128,...,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Explicit Length Strings, Return Index"
PCMPISTRM,XMM0,xmm,xmm/m128,imm8,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Mask"
PCMPISTRI,ECX,xmm,xmm/m128,imm8,sse42,,o..szapc,o..szapc,,.....ap.,"Packed Compare Implicit Length Strings, Return Index"
CMOVO,r16/32,r/m16/32,,,,o.......,,,,,Conditional Move - overflow (OF=1)
CMOVNO,r16/32,r/m16/32,,,,o.......,,,,,Conditional Move - not overflow (OF=0)
CMOVB,r16/32,r/m16/32,,,,.......c,,,,,Conditional Move - below/not above or equal/carry (CF=1)
CMOVNAE,r16/32,r/m16/32,,,,,,,,,
CMOVC,r16/32,r/m16/32,,,,,,,,,
CMOVNB,r16/32,r/m16/32,,,,.......c,,,,,Conditional Move - not below/above or equal/not carry (CF=0)
CMOVAE,r16/32,r/m16/32,,,,,,,,,
CMOVNC,r16/32,r/m16/32,,,,,,,,,
CMOVZ,r16/32,r/m16/32,,,,....z...,,,,,Conditional Move - zero/equal (ZF=0)
CMOVE,r16/32,r/m16/32,,,,,,,,,
CMOVNZ,r16/32,r/m16/32,,,,....z...,,,,,Conditional Move - not zero/not equal (ZF=1)
CMOVNE,r16/32,r/m16/32,,,,,,,,,
CMOVBE,r16/32,r/m16/32,,,,....z..c,,,,,Conditional Move - below or equal/not above (CF=1 AND ZF=1)
CMOVNA,r16/32,r/m16/32,,,,,,,,,
CMOVNBE,r16/32,r/m16/32,,,,....z..c,,,,,Conditional Move - not below or equal/above (CF=0 AND ZF=0)
CMOVA,r16/32,r/m16/32,,,,,,,,,
CMOVS,r16/32,r/m16/32,,,,...s....,,,,,Conditional Move - sign (SF=1)
CMOVNS,r16/32,r/m16/32,,,,...s....,,,,,Conditional Move - not sign (SF=0)
CMOVP,r16/32,r/m16/32,,,,......p.,,,,,Conditional Move - parity/parity even (PF=1)
CMOVPE,r16/32,r/m16/32,,,,,,,,,
CMOVNP,r16/32,r/m16/32,,,,......p.,,,,,Conditional Move - not parity/parity odd
CMOVPO,r16/32,r/m16/32,,,,,,,,,
CMOVL,r16/32,r/m16/32,,,,o..s....,,,,,Conditional Move - less/not greater (SF!=OF)
CMOVNGE,r16/32,r/m16/32,,,,,,,,,
CMOVNL,r16/32,r/m16/32,,,,o..s....,,,,,Conditional Move - not less/greater or equal (SF=OF)
CMOVGE,r16/32,r/m16/32,,,,,,,,,
CMOVLE,r16/32,r/m16/32,,,,o..sz...,,,,,Conditional Move - less or equal/not greater ((ZF=1) OR (SF!=OF))
CMOVNG,r16/32,r/m16/32,,,,,,,,,
CMOVNLE,r16/32,r/m16/32,,,,o..sz...,,,,,Conditional Move - not less nor equal/greater ((ZF=0) AND (SF=OF))
CMOVG,r16/32,r/m16/32,,,,,,,,,
MOVMSKPS,r32,xmm,,,sse1,,,,,,Extract Packed Single-FP Sign Mask
MOVMSKPD,r32,xmm,,,sse2,,,,,,Extract Packed Double-FP Sign Mask
SQRTPS,xmm,xmm/m128,,,sse1,,,,,,Compute Square Roots of Packed Single-FP Values
SQRTSS,xmm,xmm/m32,,,sse1,,,,,,Compute Square Root of Scalar Single-FP Value
SQRTPD,xmm,xmm/m128,,,sse2,,,,,,Compute Square Roots of Packed Double-FP Values
SQRTSD,xmm,xmm/m64,,,sse2,,,,,,Compute Square Root of Scalar Double-FP Value
RSQRTPS,xmm,xmm/m128,,,sse1,,,,,,Compute Recipr. of Square Roots of Packed Single-FP Values
RSQRTSS,xmm,xmm/m32,,,sse1,,,,,,Compute Recipr. of Square Root of Scalar Single-FP Value
RCPPS,xmm,xmm/m128,,,sse1,,,,,,Compute Reciprocals of Packed Single-FP Values
RCPSS,xmm,xmm/m32,,,sse1,,,,,,Compute Reciprocal of Scalar Single-FP Values
ANDPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical AND of Packed Single-FP Values
ANDPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical AND of Packed Double-FP Values
ANDNPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical AND NOT of Packed Single-FP Values
ANDNPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical AND NOT of Packed Double-FP Values
ORPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical OR of Single-FP Values
ORPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical OR of Double-FP Values
XORPS,xmm,xmm/m128,,,sse1,,,,,,Bitwise Logical XOR for Single-FP Values
XORPD,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical XOR for Double-FP Values
ADDPS,xmm,xmm/m128,,,sse1,,,,,,Add Packed Single-FP Values
ADDSS,xmm,xmm/m32,,,sse1,,,,,,Add Scalar Single-FP Values
ADDPD,xmm,xmm/m128,,,sse2,,,,,,Add Packed Double-FP Values
ADDSD,xmm,xmm/m64,,,sse2,,,,,,Add Scalar Double-FP Values
MULPS,xmm,xmm/m128,,,sse1,,,,,,Multiply Packed Single-FP Values
MULSS,xmm,xmm/m32,,,sse1,,,,,,Multiply Scalar Single-FP Value
MULPD,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Double-FP Values
MULSD,xmm,xmm/m64,,,sse2,,,,,,Multiply Scalar Double-FP Values
CVTPS2PD,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Single-FP Values to Double-FP Values
CVTPD2PS,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to Single-FP Values
CVTSS2SD,xmm,xmm/m32,,,sse2,,,,,,Convert Scalar Single-FP Value to Scalar Double-FP Value
CVTSD2SS,xmm,xmm/m64,,,sse2,,,,,,Convert Scalar Double-FP Value to Scalar Single-FP Value
CVTDQ2PS,xmm,xmm/m128,,,sse2,,,,,,Convert Packed DW Integers to Single-FP Values
CVTPS2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Single-FP Values to DW Integers
CVTTPS2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Single-FP Values to DW Integers
SUBPS,xmm,xmm/m128,,,sse1,,,,,,Subtract Packed Single-FP Values
SUBSS,xmm,xmm/m32,,,sse1,,,,,,Subtract Scalar Single-FP Values
SUBPD,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Double-FP Values
SUBSD,xmm,xmm/m64,,,sse2,,,,,,Subtract Scalar Double-FP Values
MINPS,xmm,xmm/m128,,,sse1,,,,,,Return Minimum Packed Single-FP Values
MINSS,xmm,xmm/m32,,,sse1,,,,,,Return Minimum Scalar Single-FP Value
MINPD,xmm,xmm/m128,,,sse2,,,,,,Return Minimum Packed Double-FP Values
MINSD,xmm,xmm/m64,,,sse2,,,,,,Return Minimum Scalar Double-FP Value
DIVPS,xmm,xmm/m128,,,sse1,,,,,,Divide Packed Single-FP Values
DIVSS,xmm,xmm/m32,,,sse1,,,,,,Divide Scalar Single-FP Values
DIVPD,xmm,xmm/m128,,,sse2,,,,,,Divide Packed Double-FP Values
DIVSD,xmm,xmm/m64,,,sse2,,,,,,Divide Scalar Double-FP Values
MAXPS,xmm,xmm/m128,,,sse1,,,,,,Return Maximum Packed Single-FP Values
MAXSS,xmm,xmm/m32,,,sse1,,,,,,Return Maximum Scalar Single-FP Value
MAXPD,xmm,xmm/m128,,,sse2,,,,,,Return Maximum Packed Double-FP Values
MAXSD,xmm,xmm/m64,,,sse2,,,,,,Return Maximum Scalar Double-FP Value
PUNPCKLBW,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
PUNPCKLBW,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
PUNPCKLWD,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
PUNPCKLWD,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
PUNPCKLDQ,mm,mm/m64,,,mmx,,,,,,Unpack Low Data
PUNPCKLDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
PACKSSWB,mm,mm/m64,,,mmx,,,,,,Pack with Signed Saturation
PACKSSWB,xmm,xmm/m128,,,sse2,,,,,,Pack with Signed Saturation
PCMPGTB,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
PCMPGTB,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
PCMPGTW,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
PCMPGTW,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
PCMPGTD,mm,mm/m64,,,mmx,,,,,,Compare Packed Signed Integers for Greater Than
PCMPGTD,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Signed Integers for Greater Than
PACKUSWB,mm,mm/m64,,,mmx,,,,,,Pack with Unsigned Saturation
PACKUSWB,xmm,xmm/m128,,,sse2,,,,,,Pack with Unsigned Saturation
PUNPCKHBW,mm,mm/m64,,,mmx,,,,,,Unpack High Data
PUNPCKHBW,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
PUNPCKHWD,mm,mm/m64,,,mmx,,,,,,Unpack High Data
PUNPCKHWD,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
PUNPCKHDQ,mm,mm/m64,,,mmx,,,,,,Unpack High Data
PUNPCKHDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
PACKSSDW,mm,mm/m64,,,mmx,,,,,,Pack with Signed Saturation
PACKSSDW,xmm,xmm/m128,,,sse2,,,,,,Pack with Signed Saturation
PUNPCKLQDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack Low Data
PUNPCKHQDQ,xmm,xmm/m128,,,sse2,,,,,,Unpack High Data
MOVD,mm,r/m32,,,mmx,,,,,,Move Doubleword
MOVD,xmm,r/m32,,,sse2,,,,,,Move Doubleword
MOVQ,mm,mm/m64,,,mmx,,,,,,Move Quadword
MOVDQA,xmm,xmm/m128,,,sse2,,,,,,Move Aligned Double Quadword
MOVDQU,xmm,xmm/m128,,,sse2,,,,,,Move Unaligned Double Quadword
PSHUFW,mm,mm/m64,imm8,,sse1,,,,,,Shuffle Packed Words
PSHUFLW,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Low Words
PSHUFHW,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed High Words
PSHUFD,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Doublewords
PSRLW,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Logical
PSRLW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Logical
PSRAW,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Arithmetic
PSRAW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Arithmetic
PSLLW,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLW,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
PSRLD,mm,imm8,,,mmx,,,,,,Shift Double Quadword Right Logical
PSRLD,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Right Logical
PSRAD,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Arithmetic
PSRAD,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Arithmetic
PSLLD,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLD,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
PSRLQ,mm,imm8,,,mmx,,,,,,Shift Packed Data Right Logical
PSRLQ,xmm,imm8,,,sse2,,,,,,Shift Packed Data Right Logical
PSRLDQ,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Right Logical
PSLLQ,mm,imm8,,,mmx,,,,,,Shift Packed Data Left Logical
PSLLQ,xmm,imm8,,,sse2,,,,,,Shift Packed Data Left Logical
PSLLDQ,xmm,imm8,,,sse2,,,,,,Shift Double Quadword Left Logical
PCMPEQB,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
PCMPEQB,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
PCMPEQW,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
PCMPEQW,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
PCMPEQD,mm,mm/m64,,,mmx,,,,,,Compare Packed Data for Equal
PCMPEQD,xmm,xmm/m128,,,sse2,,,,,,Compare Packed Data for Equal
EMMS,,,,,mmx,,,,,,Empty MMX Technology State
VMREAD,r/m32,r32,,,vmx,,o..szapc,o..szapc,,,Read Field from Virtual-Machine Control Structure
VMWRITE,r32,r/m32,,,vmx,,o..szapc,o..szapc,,,Write Field to Virtual-Machine Control Structure
HADDPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Horizontal Add
HADDPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Horizontal Add
HSUBPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Horizontal Subtract
HSUBPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Horizontal Subtract
MOVD,r/m32,mm,,,mmx,,,,,,Move Doubleword
MOVD,r/m32,xmm,,,sse2,,,,,,Move Doubleword
MOVQ,xmm,xmm/m64,,,sse2,,,,,,Move Quadword
MOVQ,mm/m64,mm,,,mmx,,,,,,Move Quadword
MOVDQA,xmm/m128,xmm,,,sse2,,,,,,Move Aligned Double Quadword
MOVDQU,xmm/m128,xmm,,,sse2,,,,,,Move Unaligned Double Quadword
JO,rel16/32,,,,,o.......,,,,,Jump short if overflow (OF=1)
JNO,rel16/32,,,,,o.......,,,,,Jump short if not overflow (OF=0)
JB,rel16/32,,,,,.......c,,,,,Jump short if below/not above or equal/carry (CF=1)
JNAE,rel16/32,,,,,,,,,,
JC,rel16/32,,,,,,,,,,
JNB,rel16/32,,,,,.......c,,,,,Jump short if not below/above or equal/not carry (CF=0)
JAE,rel16/32,,,,,,,,,,
JNC,rel16/32,,,,,,,,,,
JZ,rel16/32,,,,,....z...,,,,,Jump short if zero/equal (ZF=0)
JE,rel16/32,,,,,,,,,,
JNZ,rel16/32,,,,,....z...,,,,,Jump short if not zero/not equal (ZF=1)
JNE,rel16/32,,,,,,,,,,
JBE,rel16/32,,,,,....z..c,,,,,Jump short if below or equal/not above (CF=1 AND ZF=1)
JNA,rel16/32,,,,,,,,,,
JNBE,rel16/32,,,,,....z..c,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0)
JA,rel16/32,,,,,,,,,,
JS,rel16/32,,,,,...s....,,,,,Jump short if sign (SF=1)
JNS,rel16/32,,,,,...s....,,,,,Jump short if not sign (SF=0)
JP,rel16/32,,,,,......p.,,,,,Jump short if parity/parity even (PF=1)
JPE,rel16/32,,,,,,,,,,
JNP,rel16/32,,,,,......p.,,,,,Jump short if not parity/parity odd
JPO,rel16/32,,,,,,,,,,
JL,rel16/32,,,,,o..s....,,,,,Jump short if less/not greater (SF!=OF)
JNGE,rel16/32,,,,,,,,,,
JNL,rel16/32,,,,,o..s....,,,,,Jump short if not less/greater or equal (SF=OF)
JGE,rel16/32,,,,,,,,,,
JLE,rel16/32,,,,,o..sz...,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))
JNG,rel16/32,,,,,,,,,,
JNLE,rel16/32,,,,,o..sz...,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))
JG,rel16/32,,,,,,,,,,
SETO,r/m8,,,,,o.......,,,,,Set Byte on Condition - overflow (OF=1)
SETNO,r/m8,,,,,o.......,,,,,Set Byte on Condition - not overflow (OF=0)
SETB,r/m8,,,,,.......c,,,,,Set Byte on Condition - below/not above or equal/carry (CF=1)
SETNAE,r/m8,,,,,,,,,,
SETC,r/m8,,,,,,,,,,
SETNB,r/m8,,,,,.......c,,,,,Set Byte on Condition - not below/above or equal/not carry (CF=0)
SETAE,r/m8,,,,,,,,,,
SETNC,r/m8,,,,,,,,,,
SETZ,r/m8,,,,,....z...,,,,,Set Byte on Condition - zero/equal (ZF=0)
SETE,r/m8,,,,,,,,,,
SETNZ,r/m8,,,,,....z...,,,,,Set Byte on Condition - not zero/not equal (ZF=1)
SETNE,r/m8,,,,,,,,,,
SETBE,r/m8,,,,,....z..c,,,,,Set Byte on Condition - below or equal/not above (CF=1 AND ZF=1)
SETNA,r/m8,,,,,,,,,,
SETNBE,r/m8,,,,,....z..c,,,,,Set Byte on Condition - not below or equal/above (CF=0 AND ZF=0)
SETA,r/m8,,,,,,,,,,
SETS,r/m8,,,,,...s....,,,,,Set Byte on Condition - sign (SF=1)
SETNS,r/m8,,,,,...s....,,,,,Set Byte on Condition - not sign (SF=0)
SETP,r/m8,,,,,......p.,,,,,Set Byte on Condition - parity/parity even (PF=1)
SETPE,r/m8,,,,,,,,,,
SETNP,r/m8,,,,,......p.,,,,,Set Byte on Condition - not parity/parity odd
SETPO,r/m8,,,,,,,,,,
SETL,r/m8,,,,,o..s....,,,,,Set Byte on Condition - less/not greater (SF!=OF)
SETNGE,r/m8,,,,,,,,,,
SETNL,r/m8,,,,,o..s....,,,,,Set Byte on Condition - not less/greater or equal (SF=OF)
SETGE,r/m8,,,,,,,,,,
SETLE,r/m8,,,,,o..sz...,,,,,Set Byte on Condition - less or equal/not greater ((ZF=1) OR (SF!=OF))
SETNG,r/m8,,,,,,,,,,
SETNLE,r/m8,,,,,o..sz...,,,,,Set Byte on Condition - not less nor equal/greater ((ZF=0) AND (SF=OF))
SETG,r/m8,,,,,,,,,,
PUSH,FS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,FS,,,,,,,,,,Pop a Value from the Stack
CPUID,IA32_BIOS_…,EAX,ECX,...,,,,,,,CPU Identification
BT,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test
SHLD,r/m16/32,r16/32,imm8,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Left
SHLD,r/m16/32,r16/32,CL,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Left
PUSH,GS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,GS,,,,,,,,,,Pop a Value from the Stack
RSM,Flags,,,,,,,,,,Resume from System Management Mode
BTS,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Set
SHRD,r/m16/32,r16/32,imm8,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Right
SHRD,r/m16/32,r16/32,CL,,,,o..szapc,o..sz.pc,o....a.c,,Double Precision Shift Right
FXSAVE,m512,ST,ST1,...,,,,,,,"Save x87 FPU, MMX, XMM, and MXCSR State"
FXRSTOR,ST,ST1,ST2,...,,,,,,,"Restore x87 FPU, MMX, XMM, and MXCSR State"
LDMXCSR,m32,,,,sse1,,,,,,Load MXCSR Register
STMXCSR,m32,,,,sse1,,,,,,Store MXCSR Register State
XSAVE,m,EDX,EAX,...,,,,,,,Save Processor Extended States
LFENCE,,,,,sse2,,,,,,Load Fence
XRSTOR,ST,ST1,ST2,...,,,,,,,Restore Processor Extended States
MFENCE,,,,,sse2,,,,,,Memory Fence
SFENCE,,,,,sse1,,,,,,Store Fence
CLFLUSH,m8,,,,sse2,,,,,,Flush Cache Line
IMUL,r16/32,r/m16/32,,,,,o..szapc,o......c,...szap.,,Signed Multiply
CMPXCHG,r/m8,AL,r8,,,,o..szapc,o..szapc,,,Compare and Exchange
CMPXCHG,r/m16/32,eAX,r16/32,,,,o..szapc,o..szapc,,,Compare and Exchange
LSS,SS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
BTR,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Reset
LFS,FS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
LGS,GS,r16/32,m16:16/32,,,,,,,,Load Far Pointer
MOVZX,r16/32,r/m8,,,,,,,,,Move with Zero-Extend
MOVZX,r16/32,r/m16,,,,,,,,,Move with Zero-Extend
POPCNT,r16/32,r/m16/32,,,,,o..szapc,,,o..s.apc,Bit Population Count
UD,r,r/m,,,,,,,,,Undefined Instruction
BT,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test
BTS,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Set
BTR,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Reset
BTC,r/m16/32,imm8,,,,,o..szapc,.......c,o..szap.,,Bit Test and Complement
BTC,r/m16/32,r16/32,,,,,o..szapc,.......c,o..szap.,,Bit Test and Complement
BSF,r16/32,r/m16/32,,,,,o..szapc,....z...,o..s.apc,,Bit Scan Forward
BSR,r16/32,r/m16/32,,,,,o..szapc,....z...,o..s.apc,,Bit Scan Reverse
MOVSX,r16/32,r/m8,,,,,,,,,Move with Sign-Extension
MOVSX,r16/32,r/m16,,,,,,,,,Move with Sign-Extension
XADD,r/m8,r8,,,,,o..szapc,o..szapc,,,Exchange and Add
XADD,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Exchange and Add
CMPPS,xmm,xmm/m128,imm8,,sse1,,,,,,Compare Packed Single-FP Values
CMPSS,xmm,xmm/m32,imm8,,sse1,,,,,,Compare Scalar Single-FP Values
CMPPD,xmm,xmm/m128,imm8,,sse2,,,,,,Compare Packed Double-FP Values
CMPSD,xmm,xmm/m64,imm8,,sse2,,,,,,Compare Scalar Double-FP Values
MOVNTI,m32,r32,,,sse2,,,,,,Store Doubleword Using Non-Temporal Hint
PINSRW,mm,r32,imm8,,sse1,,,,,,Insert Word
PINSRW,mm,m16,imm8,,,,,,,,
PINSRW,xmm,r32,imm8,,sse1,,,,,,Insert Word
PINSRW,xmm,m16,imm8,,,,,,,,
PEXTRW,r32,mm,imm8,,sse1,,,,,,Extract Word
PEXTRW,r32,xmm,imm8,,sse1,,,,,,Extract Word
SHUFPS,xmm,xmm/m128,imm8,,sse1,,,,,,Shuffle Packed Single-FP Values
SHUFPD,xmm,xmm/m128,imm8,,sse2,,,,,,Shuffle Packed Double-FP Values
CMPXCHG8B,m64,EAX,EDX,...,,,....z...,....z...,,,Compare and Exchange Bytes
VMPTRLD,m64,,,,vmx,,o..szapc,o..szapc,,,Load Pointer to Virtual-Machine Control Structure
VMCLEAR,m64,,,,vmx,,o..szapc,o..szapc,,,Clear Virtual-Machine Control Structure
VMXON,m64,,,,vmx,,o..szapc,o..szapc,,,Enter VMX Operation
VMPTRST,m64,,,,vmx,,o..szapc,o..szapc,,,Store Pointer to Virtual-Machine Control Structure
BSWAP,r16/32,,,,,,,,,,Byte Swap
ADDSUBPD,xmm,xmm/m128,,,sse3,,,,,,Packed Double-FP Add/Subtract
ADDSUBPS,xmm,xmm/m128,,,sse3,,,,,,Packed Single-FP Add/Subtract
PSRLW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
PSRLW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
PSRLD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
PSRLD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
PSRLQ,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Logical
PSRLQ,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Logical
PADDQ,mm,mm/m64,,,sse2,,,,,,Add Packed Quadword Integers
PADDQ,xmm,xmm/m128,,,sse2,,,,,,Add Packed Quadword Integers
PMULLW,mm,mm/m64,,,mmx,,,,,,Multiply Packed Signed Integers and Store Low Result
PMULLW,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Signed Integers and Store Low Result
MOVQ,xmm/m64,xmm,,,sse2,,,,,,Move Quadword
MOVQ2DQ,xmm,mm,,,sse2,,,,,,Move Quadword from MMX Technology to XMM Register
MOVDQ2Q,mm,xmm,,,sse2,,,,,,Move Quadword from XMM to MMX Technology Register
PMOVMSKB,r32,mm,,,sse1,,,,,,Move Byte Mask
PMOVMSKB,r32,xmm,,,sse1,,,,,,Move Byte Mask
PSUBUSB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
PSUBUSB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
PSUBUSW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
PSUBUSW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
PMINUB,mm,mm/m64,,,sse1,,,,,,Minimum of Packed Unsigned Byte Integers
PMINUB,xmm,xmm/m128,,,sse1,,,,,,Minimum of Packed Unsigned Byte Integers
PAND,mm,mm/m64,,,mmx,,,,,,Logical AND
PAND,xmm,xmm/m128,,,sse2,,,,,,Logical AND
PADDUSB,mm,mm/m64,,,mmx,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
PADDUSB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
PADDUSW,mm,mm/m64,,,mmx,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
PADDUSW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
PMAXUB,mm,mm/m64,,,sse1,,,,,,Maximum of Packed Unsigned Byte Integers
PMAXUB,xmm,xmm/m128,,,sse1,,,,,,Maximum of Packed Unsigned Byte Integers
PANDN,mm,mm/m64,,,mmx,,,,,,Logical AND NOT
PANDN,xmm,xmm/m128,,,sse2,,,,,,Logical AND NOT
PAVGB,mm,mm/m64,,,sse1,,,,,,Average Packed Integers
PAVGB,xmm,xmm/m128,,,sse1,,,,,,Average Packed Integers
PSRAW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Arithmetic
PSRAW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Arithmetic
PSRAD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Arithmetic
PSRAD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Arithmetic
PAVGW,mm,mm/m64,,,sse1,,,,,,Average Packed Integers
PAVGW,xmm,xmm/m128,,,sse1,,,,,,Average Packed Integers
PMULHUW,mm,mm/m64,,,sse1,,,,,,Multiply Packed Unsigned Integers and Store High Result
PMULHUW,xmm,xmm/m128,,,sse1,,,,,,Multiply Packed Unsigned Integers and Store High Result
PMULHW,mm,mm/m64,,,mmx,,,,,,Multiply Packed Signed Integers and Store High Result
PMULHW,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Signed Integers and Store High Result
CVTPD2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to DW Integers
CVTTPD2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers
CVTDQ2PD,xmm,xmm/m128,,,sse2,,,,,,Convert Packed DW Integers to Double-FP Values
MOVNTQ,m64,mm,,,sse1,,,,,,Store of Quadword Using Non-Temporal Hint
MOVNTDQ,m128,xmm,,,sse2,,,,,,Store Double Quadword Using Non-Temporal Hint
PSUBSB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Signed Integers with Signed Saturation
PSUBSB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Signed Integers with Signed Saturation
PSUBSW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Signed Integers with Signed Saturation
PSUBSW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Signed Integers with Signed Saturation
PMINSW,mm,mm/m64,,,sse1,,,,,,Minimum of Packed Signed Word Integers
PMINSW,xmm,xmm/m128,,,sse1,,,,,,Minimum of Packed Signed Word Integers
POR,mm,mm/m64,,,mmx,,,,,,Bitwise Logical OR
